INFO 09/06/2024 17:30:34 Starting listener: (127.0.0.1:8021)
INFO 09/06/2024 17:30:37 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8020, result: None
INFO 09/06/2024 17:30:38 Received a message: Go back on holiday, reindeer!
INFO 09/06/2024 17:30:39 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8020, result: None
INFO 09/06/2024 17:30:39 Received a message: Go back on holiday, reindeer!
INFO 09/06/2024 17:30:39 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8020, result: None
INFO 09/06/2024 17:30:40 Received a message: Go back on holiday, reindeer!
INFO 09/06/2024 17:30:40 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8020, result: None
INFO 09/06/2024 17:30:40 Received a message: Go back on holiday, reindeer!
INFO 09/06/2024 17:30:41 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8020, result: None
INFO 09/06/2024 17:30:41 Received a message: Go back on holiday, reindeer!
INFO 09/06/2024 17:30:41 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8020, result: None
INFO 09/06/2024 17:30:41 Received a message: Go back on holiday, reindeer!
INFO 09/06/2024 17:30:42 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8020, result: None
INFO 09/06/2024 17:30:42 Received a message: Go back on holiday, reindeer!
INFO 09/06/2024 17:30:43 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8020, result: None
INFO 09/06/2024 17:30:43 Received a message: Go back on holiday, reindeer!
INFO 09/06/2024 17:30:43 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8020, result: None
INFO 09/06/2024 17:30:43 Received a message: Go back on holiday, reindeer!
INFO 09/06/2024 17:30:44 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8020, result: None
INFO 09/06/2024 17:30:44 Received a message: Go back on holiday, reindeer!
INFO 09/06/2024 17:30:44 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8020, result: None
INFO 09/06/2024 17:30:44 Received a message: Go back on holiday, reindeer!
INFO 09/06/2024 17:30:45 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8020, result: None
INFO 09/06/2024 17:30:45 Received a message: Go back on holiday, reindeer!
INFO 09/06/2024 17:30:45 ADDED - REQUEST [SUCCESS]: 127.0.0.1:8020, result: None
INFO 09/06/2024 17:30:45 Received a message: Go back on holiday, reindeer!
